सुबन्धो इति सु-बन्धो	सुबन्धो इति सु-बन्धो,सुबन्धो,सु-बन्धो
सुबाहो इति सु-बाहो	सुबाहो इति सु-बाहो,सुबाहो,सु-बाहो
स्वभानो इति स्व-भानो	स्वभानो इति स्व-भानो,स्वभानो,स्व-भानो
अक्षी इवेत्यक्षी-इव	अक्षी इव इति अक्षी-इव,अक्षी इव,अक्षी-इव
आर्त्नी इवेत्यार्त्नी-इव	आर्त्नी इव इति आर्त्नी-इव,आर्त्नी इव,आर्त्नी-इव
उपधी इवेत्युपधी-इव	उपधी इव इति उपधी-इव,उपधी इव,उपधी-इव
चर्मणी इवेति चर्मणी-इव	चर्मणी इव इति चर्मणी-इव,चर्मणी इव,चर्मणी-इव
दँपती इवेति दँपती-इव	दंपती इव इति दंपती-इव,दंपती इव,दंपती-इव
नृपती इवेति नृपती-इव	नृपती इव इति नृपती-इव,नृपती इव,नृपती-इव
प्रधी इवेति प्रधी-इव	प्रधी इव इति प्रधी-इव,प्रधी इव,प्रधी-इव
बृहती इवेति बृहती-इव	बृहती इव इति बृहती-इव,बृहती इव,बृहती-इव
विदुषी इवेति विदुषी-इव	विदुषी इव इति विदुषी-इव,विदुषी इव,विदुषी-इव
विश्पती इवेति विश्पती-इव	विश्पती इव इति विश्पती-इव,विश्पती इव,विश्पती-इव
सप्ती इवेति सप्ती-इव	सप्ती इव इति सप्ती-इव,सप्ती इव,सप्ती-इव
हरी इवेति हरी-इव	हरी इव इति हरी-इव,हरी इव,हरी-इव
शँयू इवेति शँयू-इव	शंयू इव इति शंयू-इव,शंयू इव,शंयू-इव
अश्वे इवेत्यश्वे-इव	अश्वे इव इति अश्वे-इव,अश्वे इव,अश्वे-इव
पदे इवेति पदे-इव	पदे इव इति पदे-इव,पदे इव,पदे-इव
मेने इवेति मेने-इव	मेने इव इति मेने-इव,मेने इव,मेने-इव
यमे इवेति यमे-इव	यमे इव इति यमे-इव,यमे इव,यमे-इव
अकरित्यकः	अकः इति अकः,अकः,अकः
अदरित्यदः	अदः इति अदः,अदः,अदः
अदर्दरित्यदर्दः	अदर्दः इति अदर्दः,अदर्दः,अदर्दः
अभारित्यभाः	अभाः इति अभाः,अभाः,अभाः
अवरित्यवः	अवः इति अवः,अवः,अवः
अस्तरित्यस्तः	अस्तः इति अस्तः,अस्तः,अस्तः
अस्परित्यस्पः	अस्पः इति अस्पः,अस्पः,अस्पः
आवरित्यावः	आवः इति आवः,आवः,आवः
करिति कः	कः इति कः,कः,कः
दर्दरिति दर्दः	दर्दः इति दर्दः,दर्दः,दर्दः
दीधरिति दीधः	दीधः इति दीधः,दीधः,दीधः
भारिति भाः	भाः इति भाः,भाः,भाः
वरिति वः	वः इति वः,वः,वः
